,sp,division,effect,effect_id,treatment,unique,Survival,PC1,PC2,SSD,MRSD,FRSD,Leaf_Area,LMA,LDMC,Stomatal_Density
122,CALAPE,DG,Edge,1,Drought,DG_EXT1_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
125,CALAPE,MG,Edge,3,Drought,MG_EXT3_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
126,CALAPE,MG,Edge,2,Drought,MG_EXT2_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
131,CALAPE,KT,Edge,2,Drought,KT_EXT2_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
132,CALAPE,KT,Edge,3,Drought,KT_EXT3_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
133,CALAPE,DG,Edge,3,Drought,DG_EXT3_d_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
136,CALAPE,KDM,Edge,1,Drought,KDM_EXT1_d_CALAPE,0,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
137,CALAPE,KDM,Edge,3,Drought,KDM_EXT3_d_CALAPE,0,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
138,CALAPE,DG,Edge,2,Drought,DG_EXT2_d_CALAPE,0,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
139,CALAPE,KDM,Edge,2,Drought,KDM_EXT2_d_CALAPE,0,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
141,CALAPE,KDM,Edge,3,Control,KDM_EXT3_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
142,CALAPE,DG,Edge,3,Control,DG_EXT3_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
